pair_id,method,status,reference_path,output_path,iou_lip,dice_lip,iou_eye,dice_eye,iou_makeup,dice_makeup
18,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/73f84e0462a6d0331f31f545cf87dae5.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair18_result.png,0.0,0.0,0.07308392650223473,0.13621288083301195,0.04129448627414301,0.07931375190873978
18,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/73f84e0462a6d0331f31f545cf87dae5.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair18_xfsy_0086_73f84e0462a6d0331f31f545cf87dae5.png,0.662261657542005,0.7968199886428166,0.10700701546783872,0.19332671604184165,0.27872489490892105,0.43594192311204455
19,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/74a81ed20e457944b5273367cc969299.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair19_result.png,0.5191414384110203,0.6834668916069169,0.37749546279491836,0.5480895915678524,0.44628549202644885,0.6171471600688468
19,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/74a81ed20e457944b5273367cc969299.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair19_result.png,0.5176190476190476,0.6821462190147474,0.38575982996811903,0.5567484662576687,0.45022115310002325,0.6208999946492589
19,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/74a81ed20e457944b5273367cc969299.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair19_xfsy_0103_74a81ed20e457944b5273367cc969299.png,0.697347338436888,0.8216907908537865,0.4485790547966714,0.6193366572729243,0.5651593525780076,0.7221748400852879
20,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/8ed6feb8f72b89632d02fbafcc2511a9.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair20_result.png,0.3309527956801951,0.49731710509095667,0.27454528140177126,0.43081291093843394,0.2944834380002463,0.4549821640903686
20,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/8ed6feb8f72b89632d02fbafcc2511a9.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair20_result.png,0.3284990389655775,0.4945416283046166,0.27375415282392024,0.4298382889932186,0.29302497232131874,0.45323946341927507
20,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/8ed6feb8f72b89632d02fbafcc2511a9.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair20_xfsy_0106_8ed6feb8f72b89632d02fbafcc2511a9.png,0.5330078125,0.695375207032743,0.23257056361855577,0.3773748464928123,0.32664668827594645,0.4924396090724691
21,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/9b88951909bde896d18d71c42c2beca1.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair21_result.png,0.11373320222877745,0.2042377869334903,0.02893724097098875,0.0562468531971517,0.06917872141857209,0.12940534642662302
21,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/9b88951909bde896d18d71c42c2beca1.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair21_result.png,0.11118335500650195,0.20011702750146285,0.028885423628128015,0.05614896073903002,0.06817740871522254,0.12765184539378088
