pair_id,method,status,image_path,nme_full,nme_jaw,nme_brow,nme_nose,nme_eyes,nme_mouth
1,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair01_result.png,0.11051430617371251,0.11657769014575664,0.10309371592210743,0.1094353100059668,0.11044318251573065,0.10959897733550666
1,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair01_result.png,0.11119564028296582,0.11551792921600881,0.10602449365062101,0.11061389772070523,0.10987828641576038,0.11115945987293767
1,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair01_vSYYZ17_vFG11.png,0.724007145848142,0.8687665325653171,0.5230772843039511,0.6672184585002668,0.5761491682638341,0.8156961753160791
2,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair02_result.png,0.023224530219438336,0.02883455867102306,0.02680060587722873,0.018402529531329686,0.017591949128761723,0.022217417933282742
2,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair02_result.png,0.022405560442536828,0.0228214757612507,0.021855668295027806,0.021092561594264786,0.01960341791132183,0.02459910808186053
2,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair02_vSYYZ173_vFG122.png,0.6661287055993012,0.7583383884104934,0.4950875386451092,0.6375120724026948,0.5481544291504298,0.756932938687567
3,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair03_result.png,0.02046936060627363,0.018844132148770936,0.020340098939827817,0.020035467631925083,0.018920010170895202,0.023040298248279238
3,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair03_result.png,0.019607282230641315,0.015318660879219287,0.024628246146508263,0.01857143946847655,0.01977073136793689,0.02111018729020507
3,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair03_vSYYZ217_vFG230.png,0.6436807320609313,0.7402250438983713,0.459531261757006,0.607721024102225,0.5232462316462286,0.7421353210400454
4,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair04_result.png,0.02488834314768886,0.022563403100429924,0.022551412552216904,0.025565938052350523,0.02454243253411973,0.027935639003624124
