pair_id,method,status,reference_path,output_path,deltae_lip,deltae_eye,deltae_skin,deltae_avg
15,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vHX109.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair15_result.png,6.895292282104492,7.815687656402588,6.830560207366943,7.180513381958008
15,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/vHX109.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair15_vSYYZ953_vHX109.png,2.369985818862915,2.9259402751922607,2.184014320373535,2.493313471476237
16,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/08d07734712422248a6af552f03453ea.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair16_result.png,8.123440742492676,9.286510467529297,5.034585952758789,7.481512387593587
16,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/08d07734712422248a6af552f03453ea.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair16_result.png,11.305614471435547,8.907060623168945,5.160951614379883,8.457875569661459
16,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/08d07734712422248a6af552f03453ea.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair16_XMY-176_08d07734712422248a6af552f03453ea.png,4.064288139343262,4.084253787994385,3.2073893547058105,3.785310427347819
17,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/0d384dbbcc121ca5049c423f81c26e6a.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair17_result.png,6.738341808319092,10.46265983581543,2.8077423572540283,6.669581333796184
17,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/0d384dbbcc121ca5049c423f81c26e6a.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair17_result.png,5.659106731414795,4.50974178314209,4.79753303527832,4.988793849945068
17,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/0d384dbbcc121ca5049c423f81c26e6a.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair17_xfsy_0037_0d384dbbcc121ca5049c423f81c26e6a.png,7.214590072631836,11.691880226135254,4.848210334777832,7.918226877848308
18,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/73f84e0462a6d0331f31f545cf87dae5.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair18_result.png,3.7893545627593994,16.55484390258789,4.976635932922363,8.440278132756552
18,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/73f84e0462a6d0331f31f545cf87dae5.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair18_result.png,5.529324054718018,22.600942611694336,1.212206482887268,9.780824383099874
18,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/73f84e0462a6d0331f31f545cf87dae5.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair18_xfsy_0086_73f84e0462a6d0331f31f545cf87dae5.png,8.539685249328613,9.602618217468262,7.877553462982178,8.673285643259684
19,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/74a81ed20e457944b5273367cc969299.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair19_result.png,5.777064323425293,25.521682739257812,2.5300917625427246,11.27627960840861
19,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/74a81ed20e457944b5273367cc969299.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair19_result.png,5.966616630554199,10.695812225341797,2.7961843013763428,6.486204385757446
19,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/74a81ed20e457944b5273367cc969299.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair19_xfsy_0103_74a81ed20e457944b5273367cc969299.png,5.707311153411865,5.269772052764893,8.306925773620605,6.428002993265788
